date,week_start,day_of_week,hour,platform,theme,query_count
2021-09-01,2021-08-30,Wednesday,5,desktop,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,5,touch,"Здоровье, питание и рецепты",3
2021-09-01,2021-08-30,Wednesday,5,desktop,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,5,touch,Карты и навигация,3
2021-09-01,2021-08-30,Wednesday,5,desktop,"Медиа, фото и развлечения",3
2021-09-01,2021-08-30,Wednesday,5,touch,"Медиа, фото и развлечения",21
2021-09-01,2021-08-30,Wednesday,5,touch,Новости,2
2021-09-01,2021-08-30,Wednesday,5,desktop,Поздравления и праздники,51
2021-09-01,2021-08-30,Wednesday,5,touch,Поздравления и праздники,479
2021-09-01,2021-08-30,Wednesday,5,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,5,touch,"Покупки, стиль и бренды",8
2021-09-01,2021-08-30,Wednesday,5,desktop,Сервисы,1
2021-09-01,2021-08-30,Wednesday,5,touch,Сервисы,1
2021-09-01,2021-08-30,Wednesday,5,desktop,Справка и Образование,8
2021-09-01,2021-08-30,Wednesday,5,touch,Справка и Образование,21
2021-09-01,2021-08-30,Wednesday,5,touch,Чувствительные запросы,5
2021-09-01,2021-08-30,Wednesday,6,desktop,"Здоровье, питание и рецепты",4
2021-09-01,2021-08-30,Wednesday,6,touch,"Здоровье, питание и рецепты",8
2021-09-01,2021-08-30,Wednesday,6,desktop,Карты и навигация,1
2021-09-01,2021-08-30,Wednesday,6,touch,Карты и навигация,7
2021-09-01,2021-08-30,Wednesday,6,desktop,"Медиа, фото и развлечения",12
2021-09-01,2021-08-30,Wednesday,6,touch,"Медиа, фото и развлечения",41
2021-09-01,2021-08-30,Wednesday,6,touch,Новости,2
2021-09-01,2021-08-30,Wednesday,6,desktop,Поздравления и праздники,70
2021-09-01,2021-08-30,Wednesday,6,touch,Поздравления и праздники,851
2021-09-01,2021-08-30,Wednesday,6,desktop,"Покупки, стиль и бренды",2
2021-09-01,2021-08-30,Wednesday,6,touch,"Покупки, стиль и бренды",9
2021-09-01,2021-08-30,Wednesday,6,desktop,Сервисы,2
2021-09-01,2021-08-30,Wednesday,6,touch,Сервисы,2
2021-09-01,2021-08-30,Wednesday,6,desktop,Справка и Образование,18
2021-09-01,2021-08-30,Wednesday,6,touch,Справка и Образование,38
2021-09-01,2021-08-30,Wednesday,6,desktop,Чувствительные запросы,1
2021-09-01,2021-08-30,Wednesday,6,touch,Чувствительные запросы,8
2021-09-01,2021-08-30,Wednesday,7,desktop,"Здоровье, питание и рецепты",2
2021-09-01,2021-08-30,Wednesday,7,touch,"Здоровье, питание и рецепты",9
2021-09-01,2021-08-30,Wednesday,7,desktop,Карты и навигация,2
2021-09-01,2021-08-30,Wednesday,7,touch,Карты и навигация,15
2021-09-01,2021-08-30,Wednesday,7,desktop,"Медиа, фото и развлечения",26
2021-09-01,2021-08-30,Wednesday,7,touch,"Медиа, фото и развлечения",52
2021-09-01,2021-08-30,Wednesday,7,desktop,Новости,1
2021-09-01,2021-08-30,Wednesday,7,touch,Новости,2
2021-09-01,2021-08-30,Wednesday,7,desktop,Поздравления и праздники,129
2021-09-01,2021-08-30,Wednesday,7,touch,Поздравления и праздники,1154
2021-09-01,2021-08-30,Wednesday,7,desktop,"Покупки, стиль и бренды",3
2021-09-01,2021-08-30,Wednesday,7,touch,"Покупки, стиль и бренды",19
2021-09-01,2021-08-30,Wednesday,7,desktop,Сервисы,4
2021-09-01,2021-08-30,Wednesday,7,touch,Сервисы,1
2021-09-01,2021-08-30,Wednesday,7,desktop,Справка и Образование,33
2021-09-01,2021-08-30,Wednesday,7,touch,Справка и Образование,72
2021-09-01,2021-08-30,Wednesday,7,touch,Чувствительные запросы,7
2021-09-01,2021-08-30,Wednesday,8,desktop,"Здоровье, питание и рецепты",1
2021-09-01,2021-08-30,Wednesday,8,touch,"Здоровье, питание и рецепты",8
2021-09-01,2021-08-30,Wednesday,8,desktop,Карты и навигация,12
2021-09-01,2021-08-30,Wednesday,8,touch,Карты и навигация,29
2021-09-01,2021-08-30,Wednesday,8,desktop,"Медиа, фото и развлечения",39
2021-09-01,2021-08-30,Wednesday,8,touch,"Медиа, фото и развлечения",73
