hour,platform,theme,avg_query_share_in_platform_day_hour
8,desktop,"Медиа, фото и развлечения",0.013461904761904762
9,desktop,"Медиа, фото и развлечения",0.017119047619047617
10,desktop,"Медиа, фото и развлечения",0.01957142857142857
11,desktop,"Медиа, фото и развлечения",0.020447619047619048
12,desktop,"Медиа, фото и развлечения",0.02021904761904762
13,desktop,"Медиа, фото и развлечения",0.022685714285714285
14,desktop,"Медиа, фото и развлечения",0.023414285714285714
15,desktop,"Медиа, фото и развлечения",0.023814285714285715
16,desktop,"Медиа, фото и развлечения",0.024257142857142856
17,desktop,"Медиа, фото и развлечения",0.02392380952380952
18,desktop,"Медиа, фото и развлечения",0.02311904761904762
19,desktop,"Медиа, фото и развлечения",0.023290476190476188
20,desktop,"Медиа, фото и развлечения",0.022261904761904764
21,desktop,"Медиа, фото и развлечения",0.01850952380952381
22,desktop,"Медиа, фото и развлечения",0.013580952380952381
23,desktop,"Медиа, фото и развлечения",0.009152380952380954
0,touch,"Медиа, фото и развлечения",0.005538095238095238
1,touch,"Медиа, фото и развлечения",0.003566666666666667
2,touch,"Медиа, фото и развлечения",0.0027238095238095237
3,touch,"Медиа, фото и развлечения",0.002352380952380952
4,touch,"Медиа, фото и развлечения",0.0028142857142857145
5,touch,"Медиа, фото и развлечения",0.0036523809523809525
6,touch,"Медиа, фото и развлечения",0.00530952380952381
7,touch,"Медиа, фото и развлечения",0.007338095238095239
8,touch,"Медиа, фото и развлечения",0.009685714285714285
9,touch,"Медиа, фото и развлечения",0.010914285714285713
10,touch,"Медиа, фото и развлечения",0.012152380952380951
11,touch,"Медиа, фото и развлечения",0.011452380952380952
12,touch,"Медиа, фото и развлечения",0.010952380952380953
13,touch,"Медиа, фото и развлечения",0.011604761904761904
14,touch,"Медиа, фото и развлечения",0.01248095238095238
15,touch,"Медиа, фото и развлечения",0.012485714285714286
16,touch,"Медиа, фото и развлечения",0.01244761904761905
17,touch,"Медиа, фото и развлечения",0.013399999999999999
18,touch,"Медиа, фото и развлечения",0.01287142857142857
19,touch,"Медиа, фото и развлечения",0.013195238095238097
20,touch,"Медиа, фото и развлечения",0.015285714285714286
21,touch,"Медиа, фото и развлечения",0.013942857142857142
22,touch,"Медиа, фото и развлечения",0.012666666666666668
23,touch,"Медиа, фото и развлечения",0.00818095238095238
0,desktop,Новости,0.0006666666666666666
1,desktop,Новости,0.00055
2,desktop,Новости,0.0004
3,desktop,Новости,0.00028
4,desktop,Новости,0.00044285714285714284
5,desktop,Новости,0.00055
6,desktop,Новости,0.0006666666666666666
7,desktop,Новости,0.0006777777777777777
8,desktop,Новости,0.0005181818181818181
9,desktop,Новости,0.0007727272727272728
